,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2010,NY,"9,547,884","50,945,648","6,954,916",18.74,"12,601,107","77,275,676","1,038,260",16.31,"1,184,683","13,480,462","8,364",8.79,"401,507","2,921,787",24,13.74,"23,735,180","144,623,573","8,001,564",16.41
2010,OH,"6,161,970","54,474,377","4,877,229",11.31,"4,528,123","46,525,627","612,974",9.73,"3,397,912","53,109,368","20,693",6.4,"3,108","36,046",3,8.62,"14,091,113","154,145,418","5,510,899",9.14
2010,OK,"2,164,328","23,688,861","1,660,653",9.14,"1,415,038","19,005,132","261,932",7.45,"810,789","15,151,987","18,356",5.35,0,0,0,0,"4,390,155","57,845,980","1,940,941",7.59
2010,OR,"1,671,727","18,838,666","1,629,076",8.87,"1,173,041","15,453,588","238,450",7.59,"631,878","11,708,420","22,638",5.4,"1,765","25,271",58,6.99,"3,478,411","46,025,945","1,890,222",7.56
2010,PA,"7,017,223","55,252,837","5,244,278",12.7,"4,783,808","47,366,366","678,774",10.1,"3,480,921","45,457,627","27,293",7.66,"70,129","887,138",16,7.91,"15,352,082","148,963,968","5,950,361",10.31
2010,RI,"496,481","3,117,808","430,623",15.92,"483,825","3,693,289","56,664",13.1,"113,621","960,833","1,975",11.83,"3,748","27,297",1,13.73,"1,097,676","7,799,227","489,263",14.07
2010,SC,"3,449,574","32,852,086","2,089,302",10.5,"1,986,442","22,320,133","340,365",8.9,"1,567,886","27,307,074","4,477",5.74,0,0,0,0,"7,003,902","82,479,293","2,434,144",8.49
2010,SD,"415,338","4,628,123","370,566",8.97,"329,832","4,367,781","66,278",7.55,"143,156","2,360,245","3,290",6.07,0,0,0,0,"888,325","11,356,149","440,134",7.82
2010,TN,"4,172,362","45,191,027","2,704,054",9.23,"2,838,715","29,399,025","460,404",9.66,"1,903,857","28,929,637","2,027",6.58,205,"1,848",1,11.09,"8,915,139","103,521,537","3,166,486",8.61
2010,TX,"15,905,877","137,161,402","9,536,778",11.6,"11,163,356","121,467,292","1,459,667",9.19,"6,420,039","99,754,412","127,608",6.44,"7,311","74,444",3,9.82,"33,496,583","358,457,550","11,124,056",9.34
2010,UT,"769,145","8,834,230","936,602",8.71,"741,023","10,367,847","122,340",7.15,"434,488","8,808,211","9,431",4.93,"2,928","33,713",10,8.69,"1,947,584","28,044,001","1,068,383",6.94
2010,VA,"5,061,603","48,438,958","3,258,959",10.45,"3,676,236","48,036,984","419,950",7.65,"1,141,321","17,141,224","5,380",6.66,"14,552","188,969",1,7.7,"9,893,712","113,806,135","3,684,290",8.69
2010,VT,"331,390","2,127,935","307,839",15.57,"271,532","2,020,937","50,620",13.44,"137,851","1,445,961",219,9.53,0,0,0,0,"740,774","5,594,833","358,678",13.24
2010,WA,"2,805,591","34,906,926","2,825,281",8.04,"2,125,160","28,833,281","353,330",7.37,"1,085,311","26,632,814","27,970",4.08,516,"6,949",6,7.42,"6,016,578","90,379,970","3,206,587",6.66
2010,WI,"2,820,621","22,299,493","2,594,698",12.65,"2,296,381","23,001,117","338,406",9.98,"1,606,232","23,451,807","4,496",6.85,0,0,0,0,"6,723,234","68,752,417","2,937,600",9.78
2010,WV,"1,094,174","12,442,583","867,948",8.79,"610,027","7,961,906","137,209",7.66,"681,014","11,622,934","12,348",5.86,365,"4,380",1,8.33,"2,385,580","32,031,803","1,017,506",7.45
2010,WY,"239,198","2,727,201","257,447",8.77,"320,135","4,317,140","59,642",7.42,"501,285","10,069,117","8,933",4.98,0,0,0,0,"1,060,618","17,113,458","326,022",6.2
2010,US,"166,778,041","1,445,708,403","125,717,935",11.54,"135,553,746","1,330,199,364","17,674,338",10.19,"65,772,007","971,221,189","747,747",6.77,"814,346","7,712,412",239,10.56,"368,918,140","3,754,841,368","144,140,259",9.83
