,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price,Revenues,Sales,Customers,Price
Year,STATE,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2023,WA,"4,276,679","38,940,142","3,319,836",10.98,"3,012,115","30,369,642","401,423",9.92,"1,279,330","20,156,469","26,546",6.35,"8,783","86,377",5,10.17,"8,576,907","89,552,630","3,747,810",9.58
2023,WI,"3,749,633","22,218,861","2,813,580",16.88,"2,962,531","23,212,820","365,168",12.76,"2,006,873","23,131,084","5,591",8.68,196,"1,139",2,17.21,"8,719,233","68,563,904","3,184,341",12.72
2023,WV,"1,437,864","10,233,824","864,768",14.05,"791,496","7,173,973","150,864",11.03,"1,061,249","14,662,890","11,095",7.24,0,0,0,0,"3,290,608","32,070,687","1,026,727",10.26
2023,WY,"337,897","2,947,863","283,729",11.46,"450,907","5,045,931","58,591",8.94,"620,644","8,796,321","11,780",7.06,0,0,0,0,"1,409,447","16,790,115","354,100",8.39
2023,US,"231,992,666","1,450,025,184","141,282,713",16,"177,342,187","1,408,108,755","19,381,328",12.59,"81,158,787","1,009,255,634","1,078,249",8.04,"876,544","6,863,789",85,12.77,"491,370,184","3,874,253,362","161,742,375",12.68
2022,AK,"473,751","2,050,472","294,370",23.1,"516,678","2,575,918","56,372",20.06,"253,566","1,375,690","1,149",18.43,0,0,0,0,"1,243,996","6,002,080","351,891",20.73
2022,AL,"4,690,788","32,923,573","2,329,559",14.25,"2,946,401","22,391,068","380,269",13.16,"2,447,353","31,712,904","7,223",7.72,0,0,0,0,"10,084,542","87,027,545","2,717,051",11.59
2022,AR,"2,320,527","19,250,661","1,445,528",12.05,"1,208,974","11,786,525","203,432",10.26,"1,325,498","17,960,258","35,670",7.38,34,219,2,15.48,"4,855,033","48,997,663","1,684,632",9.91
2022,AZ,"4,994,758","38,367,633","3,013,393",13.02,"3,403,649","31,507,070","340,035",10.8,"1,125,540","14,311,610","7,808",7.86,982,"10,204",2,9.62,"9,524,928","84,196,517","3,361,238",11.31
2022,CA,"23,136,718","89,542,208","13,942,174",25.84,"24,896,338","114,141,384","1,767,719",21.81,"8,116,628","47,500,423","147,928",17.09,"94,244","685,121",12,13.76,"56,243,928","251,869,136","15,857,833",22.33
2022,CO,"2,922,469","20,593,942","2,480,555",14.19,"2,439,656","21,059,419","390,861",11.58,"1,296,207","15,018,320","15,078",8.63,"9,057","91,360",1,9.91,"6,667,389","56,763,041","2,886,495",11.75
2022,CT,"3,246,418","13,190,687","1,536,217",24.61,"2,155,969","11,625,823","155,784",18.54,"418,994","2,780,106","3,976",15.07,"30,814","170,530",3,18.07,"5,852,195","27,767,146","1,695,980",21.08
2022,DC,"357,265","2,519,079","306,464",14.18,"1,137,041","7,290,077","27,136",15.6,"14,061","181,716",1,7.74,"21,319","250,662",3,8.5,"1,529,685","10,241,534","333,604",14.94
2022,DE,"714,302","5,210,069","461,484",13.71,"472,127","4,298,806","59,162",10.98,"178,553","2,030,396",868,8.79,0,0,0,0,"1,364,983","11,539,271","521,514",11.83
2022,FL,"18,664,364","134,245,975","10,066,753",13.9,"10,842,320","96,864,074","1,282,170",11.19,"1,614,811","17,635,655","23,673",9.16,"7,655","75,099",2,10.19,"31,129,149","248,820,803","11,372,598",12.51
2022,GA,"8,437,884","61,140,241","4,648,898",13.8,"5,995,224","49,540,774","607,578",12.1,"2,959,850","34,210,498","24,135",8.65,"13,400","143,691",1,9.33,"17,406,358","145,035,204","5,280,612",12
2022,HI,"1,182,559","2,748,479","444,854",43.03,"1,140,213","2,837,850","60,136",40.18,"1,267,578","3,452,786",822,36.71,0,0,0,0,"3,590,349","9,039,115","505,812",39.72
2022,IA,"1,997,146","15,192,859","1,426,164",13.15,"1,315,547","12,470,072","245,328",10.55,"1,874,715","26,541,024","9,458",7.06,0,0,0,0,"5,187,408","54,203,955","1,680,950",9.57
2022,ID,"1,033,583","9,963,653","826,329",10.37,"565,304","6,836,725","119,688",8.27,"630,771","9,400,753","29,155",6.71,0,0,0,0,"2,229,658","26,201,131","975,172",8.51
2022,IL,"7,274,069","46,479,195","5,376,734",15.65,"5,332,077","47,119,806","636,011",11.32,"3,584,548","41,817,849","5,486",8.57,"32,783","454,730",4,7.21,"16,223,477","135,871,580","6,018,235",11.94
2022,IN,"4,970,158","34,058,498","2,988,151",14.59,"3,020,294","23,493,759","370,420",12.86,"3,673,894","42,479,590","19,116",8.65,"1,631","12,518",1,13.03,"11,665,978","100,044,365","3,377,688",11.66
2022,KS,"2,020,777","14,443,522","1,297,400",13.99,"1,816,669","15,781,384","245,577",11.51,"974,218","11,736,159","24,109",8.3,0,0,0,0,"4,811,665","41,961,065","1,567,086",11.47
2022,KY,"3,466,096","26,840,186","2,045,252",12.91,"2,317,841","19,674,006","318,516",11.78,"2,135,730","28,824,550","5,419",7.41,0,0,0,0,"7,919,668","75,338,742","2,369,187",10.51
2022,LA,"4,067,058","31,444,708","2,128,425",12.93,"2,809,136","23,540,241","299,424",11.93,"3,027,439","40,143,868","19,695",7.54,"1,267","10,181",1,12.45,"9,904,900","95,138,998","2,447,545",10.41
2022,MA,"5,196,288","20,006,891","2,888,583",25.97,"4,562,463","24,443,659","435,521",18.67,"1,063,201","6,233,832","10,524",17.06,"21,180","299,058",2,7.08,"10,843,132","50,983,440","3,334,630",21.27
2022,MD,"4,057,913","28,065,379","2,415,655",14.46,"3,494,862","27,623,358","260,799",12.65,"360,419","3,601,623","9,156",10.01,"37,070","392,359",5,9.45,"7,950,263","59,682,719","2,685,615",13.32
2022,ME,"1,142,540","5,090,874","728,053",22.44,"636,081","4,129,399","106,211",15.4,"292,946","2,655,435","2,155",11.03,0,0,0,0,"2,071,566","11,875,708","836,419",17.44
2022,MI,"6,255,971","35,034,971","4,475,317",17.86,"4,657,585","37,114,401","554,487",12.55,"2,372,266","28,485,570","5,689",8.33,534,"4,320",2,12.35,"13,286,355","100,639,262","5,035,495",13.2
2022,MN,"3,336,372","23,418,313","2,523,110",14.25,"2,773,158","22,548,588","308,250",12.3,"1,911,003","20,648,588","9,234",9.25,"2,450","19,941",1,12.29,"8,022,983","66,635,430","2,840,595",12.04
2022,MO,"4,373,898","37,244,970","2,882,259",11.74,"2,845,815","29,790,520","398,806",9.55,"1,015,285","13,245,662","9,883",7.67,"2,252","25,108",2,8.97,"8,237,250","80,306,260","3,290,950",10.26
2022,MS,"2,348,630","18,917,877","1,329,184",12.41,"1,656,441","14,089,632","245,252",11.76,"1,071,425","15,972,024","10,911",6.71,0,0,0,0,"5,076,496","48,979,533","1,585,347",10.36
2022,MT,"667,968","5,894,499","540,745",11.33,"535,936","5,019,659","114,645",10.68,"349,566","4,669,625","11,917",7.49,0,0,0,0,"1,553,470","15,583,783","667,307",9.97
2022,NC,"7,253,470","62,443,953","4,855,658",11.62,"4,307,722","49,228,797","739,530",8.75,"1,801,078","27,519,330","9,152",6.54,"1,117","14,681",1,7.61,"13,363,388","139,206,761","5,604,341",9.6
2022,ND,"575,541","5,271,904","392,470",10.92,"709,487","8,392,425","76,800",8.45,"854,283","11,728,548","9,142",7.28,0,0,0,0,"2,139,310","25,392,877","478,412",8.42
2022,NE,"1,185,532","10,983,649","877,619",10.79,"848,420","9,618,755","158,569",8.82,"955,199","13,241,701","63,679",7.21,0,0,0,0,"2,989,152","33,844,105","1,099,867",8.83
2022,NH,"1,224,085","4,808,322","642,870",25.46,"763,434","4,084,625","110,915",18.69,"291,573","1,925,183","3,167",15.15,0,0,0,0,"2,279,091","10,818,130","756,952",21.07
2022,NJ,"5,031,557","30,062,192","3,675,569",16.74,"5,138,269","37,374,037","532,838",13.75,"818,454","6,753,844","11,427",12.12,"32,598","252,662",7,12.9,"11,020,878","74,442,735","4,219,841",14.8
2022,NM,"1,008,182","7,282,636","921,109",13.84,"1,006,037","9,084,022","147,142",11.07,"707,421","10,789,520","9,278",6.56,0,0,0,0,"2,721,640","27,156,178","1,077,529",10.02
2022,NV,"1,971,542","14,306,529","1,270,155",13.78,"1,260,723","12,427,663","173,757",10.14,"1,068,731","12,578,639","3,386",8.5,699,"7,176",1,9.74,"4,301,694","39,320,007","1,447,299",10.94
2022,NY,"11,531,652","52,227,413","7,346,236",22.08,"13,132,991","72,205,589","1,166,974",18.19,"1,221,472","16,177,769","7,333",7.55,"359,708","2,599,746",8,13.84,"26,245,822","143,210,517","8,520,551",18.33
2022,OH,"7,384,055","53,312,216","5,082,414",13.85,"4,789,696","46,090,803","631,665",10.39,"3,729,572","50,062,730","19,383",7.45,"2,907","34,034",3,8.54,"15,906,229","149,499,783","5,733,465",10.64
2022,OK,"3,170,141","25,479,144","1,839,083",12.44,"2,296,387","22,211,526","300,361",10.34,"1,516,985","21,796,272","20,064",6.96,0,0,0,0,"6,983,513","69,486,942","2,159,508",10.05
2022,OR,"2,367,526","20,725,899","1,826,286",11.42,"1,557,988","16,654,576","244,617",9.35,"1,288,904","18,923,722","26,560",6.81,"2,372","22,699",2,10.45,"5,216,790","56,326,896","2,097,465",9.26
2022,PA,"8,994,501","56,413,218","5,504,325",15.94,"3,995,009","37,219,047","730,432",10.73,"4,178,366","50,882,779","15,351",8.21,"41,358","529,548",7,7.81,"17,209,234","145,044,592","6,250,115",11.86
2022,RI,"735,413","3,168,339","448,184",23.21,"607,915","3,745,633","60,133",16.23,"114,833","639,343","1,628",17.96,"4,025","22,969",1,17.52,"1,462,185","7,576,284","509,946",19.3
2022,SC,"4,386,983","32,287,075","2,472,265",13.59,"2,619,552","24,130,625","403,966",10.86,"1,878,229","26,340,732","3,635",7.13,0,0,0,0,"8,884,763","82,758,432","2,879,866",10.74
2022,SD,"643,720","5,322,906","419,358",12.09,"503,834","4,936,093","76,157",10.21,"257,919","3,208,065","4,201",8.04,0,0,0,0,"1,405,474","13,467,064","499,716",10.44
2022,TN,"5,339,495","43,603,987","3,058,391",12.25,"4,293,143","35,719,452","528,291",12.02,"1,491,695","22,788,612","1,023",6.55,0,0,0,0,"11,124,332","102,112,051","3,587,705",10.89
2022,TX,"23,474,681","170,596,460","12,063,147",13.76,"14,538,636","160,719,198","1,574,976",9.05,"10,259,466","143,905,882","322,120",7.13,"12,259","179,652",3,6.82,"48,285,042","475,401,192","13,960,246",10.16
2022,UT,"1,230,161","11,344,265","1,207,878",10.84,"1,079,393","12,870,552","141,960",8.39,"622,535","9,104,680","10,380",6.84,"5,694","46,004",1,12.38,"2,937,783","33,365,501","1,360,219",8.8
2022,VA,"6,233,144","46,717,547","3,583,371",13.34,"6,620,629","68,556,082","437,391",9.66,"1,347,186","16,861,186","3,663",7.99,"14,087","129,802",1,10.85,"14,215,046","132,264,617","4,024,426",10.75
2022,VT,"435,861","2,186,667","320,849",19.93,"331,274","1,916,375","61,583",17.29,"162,496","1,367,429",253,11.88,0,0,0,0,"929,631","5,470,471","382,685",16.99
2022,WA,"4,079,234","39,775,849","3,273,505",10.26,"2,827,193","29,780,448","398,253",9.49,"1,309,410","21,227,090","26,379",6.17,"11,447","113,933",5,10.05,"8,227,285","90,897,320","3,698,142",9.05
2022,WI,"3,575,870","22,887,928","2,786,457",15.62,"2,775,141","23,426,668","363,517",11.85,"1,999,968","23,560,174","5,587",8.49,182,"1,101",2,16.55,"8,351,161","69,875,871","3,155,563",11.95
2022,WV,"1,473,398","11,136,970","863,905",13.23,"758,145","7,275,035","149,706",10.42,"981,970","14,574,283","11,224",6.74,0,0,0,0,"3,213,512","32,986,288","1,024,835",9.74
2022,WY,"333,636","3,008,680","281,464",11.09,"344,774","3,610,790","58,407",9.55,"680,771","9,879,959","11,730",6.89,0,0,0,0,"1,359,181","16,499,429","351,601",8.24
2022,US,"226,989,647","1,509,233,162","139,854,178",15.04,"172,599,590","1,390,872,813","19,257,529",12.41,"84,894,579","1,020,463,986","1,049,983",8.32,"765,121","6,599,108",86,11.59,"485,248,938","3,927,169,069","160,161,776",12.36
2021,AK,"469,886","2,083,911","292,451",22.55,"501,658","2,558,649","56,005",19.61,"223,588","1,326,779","1,135",16.85,0,0,0,0,"1,195,132","5,969,339","349,591",20.02
2021,AL,"4,092,368","31,585,153","2,308,226",12.96,"2,586,968","21,844,283","376,180",11.84,"2,034,105","32,155,730","7,233",6.33,0,0,0,0,"8,713,442","85,585,166","2,691,639",10.18
2021,AR,"2,131,723","18,918,015","1,436,246",11.27,"1,101,412","11,516,908","201,408",9.56,"1,196,803","18,228,014","36,628",6.57,28,205,2,13.56,"4,429,965","48,663,142","1,674,284",9.1
2021,AZ,"4,655,903","37,130,339","2,953,823",12.54,"3,098,754","29,990,064","335,377",10.33,"956,213","14,089,072","7,548",6.79,981,"10,515",2,9.33,"8,711,850","81,219,990","3,296,750",10.73
2021,CA,"20,604,392","90,284,143","13,883,994",22.82,"20,861,069","108,761,594","1,750,923",19.18,"7,050,423","47,583,329","149,389",14.82,"73,215","620,799",12,11.79,"48,589,099","247,249,865","15,784,318",19.65
2021,CO,"2,696,118","20,625,005","2,443,109",13.07,"2,232,288","20,584,470","388,601",10.84,"1,205,161","15,053,158","15,287",8.01,"8,362","88,576",1,9.44,"6,141,929","56,351,209","2,846,998",10.9
2021,CT,"2,868,410","13,092,128","1,530,251",21.91,"1,926,205","11,701,168","155,791",16.46,"269,676","2,799,194","4,049",9.63,"18,136","145,116",3,12.5,"5,082,427","27,737,606","1,690,094",18.32
2021,DC,"330,851","2,528,049","298,337",13.09,"915,415","7,043,709","26,783",13,"18,839","239,501",1,7.87,"26,547","272,113",3,9.76,"1,291,653","10,083,372","325,124",12.81
2021,DE,"647,126","5,170,380","453,758",12.52,"397,960","4,196,263","58,353",9.48,"160,527","2,113,012",864,7.6,0,0,0,0,"1,205,613","11,479,655","512,975",10.5
2021,FL,"15,518,174","130,412,464","9,917,113",11.9,"8,931,651","93,965,070","1,272,939",9.51,"1,308,516","17,112,564","23,036",7.65,"5,985","71,984",2,8.31,"25,764,326","241,562,082","11,213,090",10.67
2021,GA,"7,339,634","58,684,962","4,560,653",12.51,"4,858,538","45,777,026","599,964",10.61,"2,125,605","32,758,986","24,211",6.49,"9,449","142,978",1,6.61,"14,333,226","137,363,952","5,184,829",10.43
2021,HI,"946,210","2,825,082","443,535",33.49,"859,804","2,784,538","59,935",30.88,"902,208","3,326,862",817,27.12,0,0,0,0,"2,708,221","8,936,482","504,287",30.31
2021,IA,"1,864,645","14,651,755","1,417,424",12.73,"1,234,385","12,135,097","246,568",10.17,"1,731,614","26,106,417","9,479",6.63,0,0,0,0,"4,830,644","52,893,269","1,673,471",9.13
2021,ID,"944,639","9,300,843","806,421",10.16,"520,870","6,600,296","117,323",7.89,"599,709","9,384,477","28,974",6.39,0,0,0,0,"2,065,218","25,285,616","952,718",8.17
2021,IL,"6,167,780","46,813,068","5,361,717",13.18,"4,529,428","46,923,210","633,019",9.65,"3,027,919","41,498,024","5,456",7.3,"29,178","454,531",3,6.42,"13,754,306","135,688,833","6,000,195",10.14
2021,IN,"4,476,492","33,471,970","2,948,803",13.37,"2,653,827","22,920,929","364,549",11.58,"3,199,952","43,329,491","19,066",7.39,"1,775","17,656",1,10.05,"10,332,045","99,740,046","3,332,419",10.36
2021,KS,"1,787,507","13,769,410","1,289,344",12.98,"1,615,098","15,356,451","245,045",10.52,"838,799","11,365,925","23,965",7.38,0,0,0,0,"4,241,403","40,491,786","1,558,354",10.47
2021,KY,"3,040,792","26,434,371","2,032,575",11.5,"2,008,535","18,685,936","316,806",10.75,"1,748,373","29,396,679","5,424",5.95,0,0,0,0,"6,797,700","74,516,986","2,354,805",9.12
2021,LA,"3,351,648","30,408,224","2,126,155",11.02,"2,297,883","22,459,648","297,724",10.23,"2,357,221","37,941,990","19,928",6.21,"1,021","9,484",1,10.77,"8,007,773","90,819,346","2,443,808",8.82
2021,MA,"4,647,885","20,305,269","2,840,311",22.89,"4,048,413","23,832,465","432,903",16.99,"963,191","6,345,834","10,907",15.18,"20,508","314,820",2,6.51,"9,679,996","50,798,388","3,284,123",19.06
2021,MD,"3,669,204","27,964,545","2,395,954",13.12,"2,814,081","27,437,050","257,947",10.26,"294,409","3,480,392","8,991",8.46,"31,972","421,987",5,7.58,"6,809,666","59,303,974","2,662,897",11.48
